,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
movie_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.003205319864818,3.9204561741660426,4.155735670134191,3.5276063426904387,3.9204223117875427,4.14307950500957,2.6558242997361297,4.066710653584445,4.010423670024763,3.8055820264814297,3.5364570352314235,3.5598834733137275,4.960111472222774,3.999360651456854,3.2663856758842327,3.887041548948841,2.3692979264321417,3.151268262824312,4.1137617796567145,3.406010396856196,4.0117248263418475,3.609517218398813,3.4819684872233734,3.798505028396559,3.7971821722861434,3.9845677510524187,3.330696190237678,3.990538919341247,3.457145074656046,3.10645273635664,2.722268492745517,3.3543133540101975,3.0412224468516817,4.568126111116243
2,4.970682146478391,4.967973184723154,4.4454787862441,3.903403761644382,4.831665947480362,4.70634992700858,3.3939719909915533,4.698973335399185,4.532072514395752,4.837570817921384,3.96240443101367,4.0667006744741085,4.77594386663369,4.0128848572668945,3.9984980923706606,4.217495926089286,2.5260132089437146,3.543161229585601,4.198635273723908,4.397952541820168,4.993924399170821,4.57366301264027,3.822456336979353,4.73241423917886,4.314371474516331,4.494193856493999,4.414859835348857,4.164214050559173,3.4626871249727498,4.389797043530064,2.994304357839664,4.3469444006194795,4.013109884842269,3.999403927713411
3,4.017206111319317,3.985693773595378,4.955724236043468,4.088353177331744,4.528607037643995,4.27116665889791,2.81860927634216,4.3381450843700895,4.491327360791641,4.367894950746538,3.7248330761929442,3.5319485886085284,4.964904990315944,4.196479866092947,3.443639621972439,3.62147455199949,2.7340506367190205,3.4193998559246124,4.212142090634599,3.502498724981899,4.440148632203509,3.010937469518494,3.016024006031487,3.863055440517723,4.081115208893605,4.317143589098962,3.879996293555403,4.474627748412113,3.205897418435861,3.2361645983310536,2.2308354302613695,2.5888533240675233,3.4456422327245178,4.59675377510907
4,4.991062475388795,4.987261687808083,4.929234222548658,4.9619290509942,5.010582639500025,4.961541979023298,3.944734979863327,5.076190439818946,4.952067304374854,5.017308028209144,4.511605561084045,3.8223615497571704,5.000347215251699,4.204168700805452,3.582879544509709,4.371871382042404,3.1193455784129585,3.5417737624126002,4.34129536136674,3.9821044033437927,4.72207436382531,4.5915253046172335,3.598697962015536,4.9796084083566505,4.06276101168781,4.741922177079428,4.503270419058831,4.906813763291515,3.1167685746980065,3.4137026536213186,2.0073136324924943,4.223536486638474,4.171971242403135,4.644221122232492
5,4.980598375190318,4.240539432646041,5.461724699107042,4.3733581300031705,5.163710887965618,4.554276732015088,3.152212453168617,4.637062418597279,4.982036066755398,4.919777719838514,4.143684041499942,4.107007180520806,4.96789993124977,4.67762422589869,3.292660630967091,4.270050082235925,3.023853993628969,3.4372584397801855,4.969727121996256,3.390702069901685,3.995046034668184,3.489019977368089,3.1089767031268574,4.432416655743667,4.5053752227855135,4.722787459519108,3.737046824441366,5.0747633709903175,3.0172391791628037,3.610513609350416,2.9962676904317638,2.031795403691574,4.980741165645619,4.987306022304433
6,4.970654486629172,4.964539476721742,4.169063199301399,3.877804465552467,4.50682790880652,4.5414948240504245,3.554422164694106,4.708166808341031,4.287152021276604,4.623674478415337,3.884504109158893,3.7876564657927556,4.321618734872845,3.6316246896055424,3.906627322332433,4.09965688365378,2.54776156501383,3.0859776949091375,3.7358095841360788,4.183579216823867,4.887911124388276,4.814788254791524,3.907144055523758,4.846799027437936,4.01584468530395,4.2181198001008635,4.7339890023776015,3.838247867348046,3.475851208744533,3.8118451994477915,2.0107136228763616,4.979275791709694,4.001675437667608,3.0166523439614488
7,4.978865771444179,4.184466290798682,4.220045160127088,2.0410820308031616,4.145753270956221,4.238808565951623,2.8280917763578555,4.0411275024808635,4.001470353176925,4.114968340702022,3.327781774974615,4.967695356270754,4.988577971415247,4.913251155762304,4.040345067763732,4.983465898379713,2.1419892131758314,2.939707330904677,4.2596814705497925,4.520895486140071,4.619312865978556,4.995935004510814,4.981615354539471,4.693249366873713,4.547044847597039,3.9875037429546896,3.796947121415431,3.6677755237648895,5.167615220845103,4.446132493869168,4.2845559723256725,4.518148391099823,4.581429504177464,4.002956887453693
8,4.033175740311152,4.610883999646186,4.988328325535472,4.093447094242712,4.81246257826787,4.3800213063991,3.4541748180172487,4.456823960964321,4.89315646625762,5.002091064972446,4.260950417910805,4.0297705074037,4.4145450207632955,4.984762249790847,3.482122204511273,4.047988391683642,3.3125022433057043,4.058427793370769,3.66636511081383,3.9393018278731273,5.039139873339529,3.6351494037311785,3.0011916091969573,4.480175996347386,4.2674198150402365,4.6975287967653925,4.961256029243067,4.964583702180718,3.4013707588241346,3.473983389565765,2.0980916273057955,3.154629619398143,3.795630642570248,4.455483279854638
9,4.98584228079767,4.64014150567701,4.999142953558986,4.142992984694785,4.871847384714068,4.667890507121362,3.4076168169045866,4.796349086339315,4.769317082090061,4.763278346902595,4.352318360303458,4.289684166846789,4.999030886261793,4.867806256514415,3.36233090403385,4.977772657896465,2.9842902394265347,3.453238144772427,4.366219483881181,3.588923315253984,4.595517508907337,4.565593543594813,3.9727724264943713,4.753645200818661,4.420876675257108,4.74319185823364,4.05375984425191,4.974974206545445,3.9982781904579556,3.4471955661342646,2.6127950512617577,3.734978808055642,4.461533559288211,4.890945872485552
10,4.009599683775693,3.9848654706733497,4.000589383696589,2.524574810060429,3.924497028259873,4.251670664159214,2.7783666354755256,4.018313821584866,4.0078852376457315,3.9034244635105635,2.5111272793124284,4.011482377659004,4.990413125631791,3.0192740663702926,4.950844890891245,3.5493608940968233,2.936511620163423,2.792881935348068,4.514669168281069,5.0845234201965726,3.9786792740184413,4.001597487676524,4.960482489913868,4.037096579317353,3.6446448292263374,3.5720887656689047,3.8978502555410777,3.2070160407660557,4.997890013260058,5.327091745534516,2.9671587110168205,4.658211751438715,3.300693553471123,4.019933703878367
